PassengerId,Survived,Name,Age,SibSp,Parch,Fare,female,male,Pclass_1,Pclass_2,Pclass_3,Dr,Master,Miss,Mr,Mrs,Nobility,Officer,big_family,small_family,solo,C,Q,S
1,0.0,"Braund, Mr. Owen Harris",22.0,1,0,7.25,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
2,1.0,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38.0,1,0,71.2833,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
3,1.0,"Heikkinen, Miss. Laina",26.0,0,0,7.925,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
4,1.0,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35.0,1,0,53.1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
5,0.0,"Allen, Mr. William Henry",35.0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
6,0.0,"Moran, Mr. James",33.0,0,0,8.4583,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
7,0.0,"McCarthy, Mr. Timothy J",54.0,0,0,51.8625,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
8,0.0,"Palsson, Master. Gosta Leonard",2.0,3,1,21.075,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
9,1.0,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27.0,0,2,11.1333,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
10,1.0,"Nasser, Mrs. Nicholas (Adele Achem)",14.0,1,0,30.0708,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
11,1.0,"Sandstrom, Miss. Marguerite Rut",4.0,1,1,16.7,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
12,1.0,"Bonnell, Miss. Elizabeth",58.0,0,0,26.55,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
13,0.0,"Saundercock, Mr. William Henry",20.0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
14,0.0,"Andersson, Mr. Anders Johan",39.0,1,5,31.275,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
15,0.0,"Vestrom, Miss. Hulda Amanda Adolfina",14.0,0,0,7.8542,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
16,1.0,"Hewlett, Mrs. (Mary D Kingcome) ",55.0,0,0,16.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
17,0.0,"Rice, Master. Eugene",2.0,4,1,29.125,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
18,1.0,"Williams, Mr. Charles Eugene",32.0,0,0,13.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
19,0.0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",31.0,1,0,18.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
20,1.0,"Masselmani, Mrs. Fatima",32.0,0,0,7.225,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
21,0.0,"Fynney, Mr. Joseph J",35.0,0,0,26.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
22,1.0,"Beesley, Mr. Lawrence",34.0,0,0,13.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
23,1.0,"McGowan, Miss. Anna ""Annie""",15.0,0,0,8.0292,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
24,1.0,"Sloper, Mr. William Thompson",28.0,0,0,35.5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
25,0.0,"Palsson, Miss. Torborg Danira",8.0,3,1,21.075,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
26,1.0,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38.0,1,5,31.3875,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
27,0.0,"Emir, Mr. Farred Chehab",27.0,0,0,7.225,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
28,0.0,"Fortune, Mr. Charles Alexander",19.0,3,2,263.0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
29,1.0,"O'Dwyer, Miss. Ellen ""Nellie""",21.0,0,0,7.8792,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
30,0.0,"Todoroff, Mr. Lalio",27.0,0,0,7.8958,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
31,0.0,"Uruchurtu, Don. Manuel E",40.0,0,0,27.7208,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
32,1.0,"Spencer, Mrs. William Augustus (Marie Eugenie)",35.0,1,0,146.5208,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
33,1.0,"Glynn, Miss. Mary Agatha",24.0,0,0,7.75,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
34,0.0,"Wheadon, Mr. Edward H",66.0,0,0,10.5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
35,0.0,"Meyer, Mr. Edgar Joseph",28.0,1,0,82.1708,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
36,0.0,"Holverson, Mr. Alexander Oskar",42.0,1,0,52.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
37,1.0,"Mamee, Mr. Hanna",25.0,0,0,7.2292,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
38,0.0,"Cann, Mr. Ernest Charles",21.0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
39,0.0,"Vander Planke, Miss. Augusta Maria",18.0,2,0,18.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
40,1.0,"Nicola-Yarred, Miss. Jamila",14.0,1,0,11.2417,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
41,0.0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40.0,1,0,9.475,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
42,0.0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",27.0,1,0,21.0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
43,0.0,"Kraeff, Mr. Theodor",28.0,0,0,7.8958,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
44,1.0,"Laroche, Miss. Simonne Marie Anne Andree",3.0,1,2,41.5792,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
45,1.0,"Devaney, Miss. Margaret Delia",19.0,0,0,7.8792,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
46,0.0,"Rogers, Mr. William John",29.0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
47,0.0,"Lennon, Mr. Denis",31.0,1,0,15.5,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
48,1.0,"O'Driscoll, Miss. Bridget",24.0,0,0,7.75,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
49,0.0,"Samaan, Mr. Youssef",24.0,2,0,21.6792,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
50,0.0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18.0,1,0,17.8,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
51,0.0,"Panula, Master. Juha Niilo",7.0,4,1,39.6875,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
52,0.0,"Nosworthy, Mr. Richard Cater",21.0,0,0,7.8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
53,1.0,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",49.0,1,0,76.7292,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
54,1.0,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29.0,1,0,26.0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
55,0.0,"Ostby, Mr. Engelhart Cornelius",65.0,0,1,61.9792,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
56,1.0,"Woolner, Mr. Hugh",42.0,0,0,35.5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
57,1.0,"Rugg, Miss. Emily",21.0,0,0,10.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
58,0.0,"Novel, Mr. Mansouer",28.5,0,0,7.2292,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
59,1.0,"West, Miss. Constance Mirium",5.0,1,2,27.75,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
60,0.0,"Goodwin, Master. William Frederick",11.0,5,2,46.9,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
61,0.0,"Sirayanian, Mr. Orsen",22.0,0,0,7.2292,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
62,1.0,"Icard, Miss. Amelie",38.0,0,0,80.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
63,0.0,"Harris, Mr. Henry Birkhardt",45.0,1,0,83.475,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
64,0.0,"Skoog, Master. Harald",4.0,3,2,27.9,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
65,0.0,"Stewart, Mr. Albert A",37.0,0,0,27.7208,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
66,1.0,"Moubarek, Master. Gerios",7.0,1,1,15.2458,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
67,1.0,"Nye, Mrs. (Elizabeth Ramell)",29.0,0,0,10.5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
68,0.0,"Crease, Mr. Ernest James",19.0,0,0,8.1583,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
69,1.0,"Andersson, Miss. Erna Alexandra",17.0,4,2,7.925,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
70,0.0,"Kink, Mr. Vincenz",26.0,2,0,8.6625,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
71,0.0,"Jenkin, Mr. Stephen Curnow",32.0,0,0,10.5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
72,0.0,"Goodwin, Miss. Lillian Amy",16.0,5,2,46.9,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
73,0.0,"Hood, Mr. Ambrose Jr",21.0,0,0,73.5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
74,0.0,"Chronopoulos, Mr. Apostolos",26.0,1,0,14.4542,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
75,1.0,"Bing, Mr. Lee",32.0,0,0,56.4958,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
76,0.0,"Moen, Mr. Sigurd Hansen",25.0,0,0,7.65,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
77,0.0,"Staneff, Mr. Ivan",27.0,0,0,7.8958,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
78,0.0,"Moutal, Mr. Rahamin Haim",29.0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
79,1.0,"Caldwell, Master. Alden Gates",0.83,0,2,29.0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
80,1.0,"Dowdell, Miss. Elizabeth",30.0,0,0,12.475,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
81,0.0,"Waelens, Mr. Achille",22.0,0,0,9.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
82,1.0,"Sheerlinck, Mr. Jan Baptist",29.0,0,0,9.5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
83,1.0,"McDermott, Miss. Brigdet Delia",24.0,0,0,7.7875,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
84,0.0,"Carrau, Mr. Francisco M",28.0,0,0,47.1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
85,1.0,"Ilett, Miss. Bertha",17.0,0,0,10.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
86,1.0,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33.0,3,0,15.85,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
87,0.0,"Ford, Mr. William Neal",16.0,1,3,34.375,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
88,0.0,"Slocovski, Mr. Selman Francis",29.0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
89,1.0,"Fortune, Miss. Mabel Helen",23.0,3,2,263.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
90,0.0,"Celotti, Mr. Francesco",24.0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
91,0.0,"Christmann, Mr. Emil",29.0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
92,0.0,"Andreasson, Mr. Paul Edvin",20.0,0,0,7.8542,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
93,0.0,"Chaffee, Mr. Herbert Fuller",46.0,1,0,61.175,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
94,0.0,"Dean, Mr. Bertram Frank",26.0,1,2,20.575,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
95,0.0,"Coxon, Mr. Daniel",59.0,0,0,7.25,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
96,0.0,"Shorney, Mr. Charles Joseph",29.0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
97,0.0,"Goldschmidt, Mr. George B",71.0,0,0,34.6542,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
98,1.0,"Greenfield, Mr. William Bertram",23.0,0,1,63.3583,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
99,1.0,"Doling, Mrs. John T (Ada Julia Bone)",34.0,0,1,23.0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
100,0.0,"Kantor, Mr. Sinai",34.0,1,0,26.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
101,0.0,"Petranec, Miss. Matilda",28.0,0,0,7.8958,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
102,0.0,"Petroff, Mr. Pastcho (""Pentcho"")",27.0,0,0,7.8958,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
103,0.0,"White, Mr. Richard Frasar",21.0,0,1,77.2875,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
104,0.0,"Johansson, Mr. Gustaf Joel",33.0,0,0,8.6542,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
105,0.0,"Gustafsson, Mr. Anders Vilhelm",37.0,2,0,7.925,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
106,0.0,"Mionoff, Mr. Stoytcho",28.0,0,0,7.8958,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
107,1.0,"Salkjelsvik, Miss. Anna Kristine",21.0,0,0,7.65,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
108,1.0,"Moss, Mr. Albert Johan",28.0,0,0,7.775,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
109,0.0,"Rekic, Mr. Tido",38.0,0,0,7.8958,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
110,1.0,"Moran, Miss. Bertha",17.0,1,0,24.15,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
111,0.0,"Porter, Mr. Walter Chamberlain",47.0,0,0,52.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
112,0.0,"Zabour, Miss. Hileni",14.5,1,0,14.4542,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
113,0.0,"Barton, Mr. David John",22.0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
114,0.0,"Jussila, Miss. Katriina",20.0,1,0,9.825,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
115,0.0,"Attalah, Miss. Malake",17.0,0,0,14.4583,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
116,0.0,"Pekoniemi, Mr. Edvard",21.0,0,0,7.925,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
117,0.0,"Connors, Mr. Patrick",70.5,0,0,7.75,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
118,0.0,"Turpin, Mr. William John Robert",29.0,1,0,21.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
119,0.0,"Baxter, Mr. Quigg Edmond",24.0,0,1,247.5208,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
120,0.0,"Andersson, Miss. Ellis Anna Maria",2.0,4,2,31.275,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
121,0.0,"Hickman, Mr. Stanley George",21.0,2,0,73.5,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
122,0.0,"Moore, Mr. Leonard Charles",29.0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
123,0.0,"Nasser, Mr. Nicholas",32.5,1,0,30.0708,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
124,1.0,"Webber, Miss. Susan",32.5,0,0,13.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
125,0.0,"White, Mr. Percival Wayland",54.0,0,1,77.2875,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
126,1.0,"Nicola-Yarred, Master. Elias",12.0,1,0,11.2417,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
127,0.0,"McMahon, Mr. Martin",35.0,0,0,7.75,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
128,1.0,"Madsen, Mr. Fridtjof Arne",24.0,0,0,7.1417,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
129,1.0,"Peter, Miss. Anna",8.0,1,1,22.3583,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
130,0.0,"Ekstrom, Mr. Johan",45.0,0,0,6.975,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
131,0.0,"Drazenoic, Mr. Jozef",33.0,0,0,7.8958,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
132,0.0,"Coelho, Mr. Domingos Fernandeo",20.0,0,0,7.05,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
133,0.0,"Robins, Mrs. Alexander A (Grace Charity Laury)",47.0,1,0,14.5,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
134,1.0,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",29.0,1,0,26.0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
135,0.0,"Sobey, Mr. Samuel James Hayden",25.0,0,0,13.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
136,0.0,"Richard, Mr. Emile",23.0,0,0,15.0458,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
137,1.0,"Newsom, Miss. Helen Monypeny",19.0,0,2,26.2833,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
138,0.0,"Futrelle, Mr. Jacques Heath",37.0,1,0,53.1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
139,0.0,"Osen, Mr. Olaf Elon",16.0,0,0,9.2167,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
140,0.0,"Giglio, Mr. Victor",24.0,0,0,79.2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
141,0.0,"Boulos, Mrs. Joseph (Sultana)",28.0,0,2,15.2458,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
142,1.0,"Nysten, Miss. Anna Sofia",22.0,0,0,7.75,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
143,1.0,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",24.0,1,0,15.85,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
144,0.0,"Burke, Mr. Jeremiah",19.0,0,0,6.75,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
145,0.0,"Andrew, Mr. Edgardo Samuel",18.0,0,0,11.5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
146,0.0,"Nicholls, Mr. Joseph Charles",19.0,1,1,36.75,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
147,1.0,"Andersson, Mr. August Edvard (""Wennerstrom"")",27.0,0,0,7.7958,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
148,0.0,"Ford, Miss. Robina Maggie ""Ruby""",9.0,2,2,34.375,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
149,0.0,"Navratil, Mr. Michel (""Louis M Hoffman"")",36.5,0,2,26.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
150,0.0,"Byles, Rev. Thomas Roussel Davids",42.0,0,0,13.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
151,0.0,"Bateman, Rev. Robert James",51.0,0,0,12.525,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
152,1.0,"Pears, Mrs. Thomas (Edith Wearne)",22.0,1,0,66.6,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
153,0.0,"Meo, Mr. Alfonzo",55.5,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
154,0.0,"van Billiard, Mr. Austin Blyler",40.5,0,2,14.5,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
155,0.0,"Olsen, Mr. Ole Martin",30.0,0,0,7.3125,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
156,0.0,"Williams, Mr. Charles Duane",51.0,0,1,61.3792,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
157,1.0,"Gilnagh, Miss. Katherine ""Katie""",16.0,0,0,7.7333,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
158,0.0,"Corn, Mr. Harry",30.0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
159,0.0,"Smiljanic, Mr. Mile",26.0,0,0,8.6625,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
160,0.0,"Sage, Master. Thomas Henry",9.0,8,2,69.55,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
161,0.0,"Cribb, Mr. John Hatfield",44.0,0,1,16.1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
162,1.0,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",40.0,0,0,15.75,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
163,0.0,"Bengtsson, Mr. John Viktor",26.0,0,0,7.775,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
164,0.0,"Calic, Mr. Jovo",17.0,0,0,8.6625,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
165,0.0,"Panula, Master. Eino Viljami",1.0,4,1,39.6875,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
166,1.0,"Goldsmith, Master. Frank John William ""Frankie""",9.0,0,2,20.525,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
167,1.0,"Chibnall, Mrs. (Edith Martha Bowerman)",43.0,0,1,55.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
168,0.0,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",45.0,1,4,27.9,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
169,0.0,"Baumann, Mr. John D",45.0,0,0,25.925,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
170,0.0,"Ling, Mr. Lee",28.0,0,0,56.4958,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
171,0.0,"Van der hoef, Mr. Wyckoff",61.0,0,0,33.5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
172,0.0,"Rice, Master. Arthur",4.0,4,1,29.125,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
173,1.0,"Johnson, Miss. Eleanor Ileen",1.0,1,1,11.1333,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
174,0.0,"Sivola, Mr. Antti Wilhelm",21.0,0,0,7.925,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
175,0.0,"Smith, Mr. James Clinch",56.0,0,0,30.6958,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
176,0.0,"Klasen, Mr. Klas Albin",18.0,1,1,7.8542,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
177,0.0,"Lefebre, Master. Henry Forbes",5.0,3,1,25.4667,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
